,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
5,AA,F,3,3.2,42.49,74.48,100.46,7.67,59.48,60.57,7.24,39.89,43.23,11.49,82.56,2.41,44.56,0.0,2.2,13.6,10.34,2.42,1.08,24.63,57.72,15.59,1.24,40.03,1.75,,29.18,10.78,12.67,2.08,1.57,3.5,7.37,1.06,5.13,3.95,0.72,5.88,9.17,1.92,1.61,19.89,8.89,9.01,0.92,135.01,8.25,56.51,5.05,106.15,3.31,9.24,77.83,2.41,49.04,2.7,3.16,12.62,1.0,0.0,12.64,0.31,16.02,9.71,6.3,4.73,0.09
14,AB,F,3,3.84,51.36,101.97,127.78,8.83,65.11,80.46,8.41,47.33,41.93,23.16,149.44,2.8,33.97,0.77,0.84,84.7,15.21,2.81,2.04,31.17,65.81,42.62,0.79,46.65,0.0,,27.54,8.05,20.67,1.66,1.1,3.59,5.4,1.3,4.4,3.6,0.24,1.76,9.52,1.53,1.0,9.76,12.53,3.14,0.86,100.11,8.66,53.3,10.83,157.18,9.02,14.47,141.77,1.0,46.74,5.03,0.8,19.69,1.75,0.4,11.57,0.37,19.19,11.97,7.22,3.75,0.0
23,AC,F,3,3.13,47.66,71.48,99.12,8.27,67.32,62.52,7.93,36.6,34.09,18.13,87.79,2.08,34.47,0.0,3.11,23.45,9.25,2.22,1.42,17.82,51.55,31.11,0.86,42.51,1.41,,21.76,9.53,12.03,1.8,2.25,1.72,5.12,0.0,2.71,1.65,0.27,4.47,7.5,1.69,1.02,16.19,5.71,6.59,0.27,109.99,7.23,59.35,11.05,201.48,8.67,10.6,148.74,2.88,50.3,0.82,3.29,15.61,2.33,0.0,7.63,0.45,15.63,9.32,6.31,2.31,0.0
32,BA,F,3,8.45,97.22,127.36,221.32,13.79,97.72,194.89,13.57,26.44,21.6,101.12,136.95,12.14,64.05,3.03,6.83,0.0,6.08,4.93,2.89,308.65,40.51,9.67,0.68,25.0,0.94,,28.55,5.13,48.74,4.7,1.84,1.1,4.84,1.28,4.93,3.99,3.44,3.96,17.59,3.42,3.79,30.88,47.64,50.0,2.08,203.62,15.5,138.34,44.99,254.13,39.76,20.17,213.3,13.84,75.13,12.25,3.56,16.22,9.8,9.26,26.06,3.53,42.27,39.56,2.71,11.02,5.69
41,BB,F,3,4.28,70.01,99.73,138.1,11.96,59.72,113.14,11.5,24.96,46.29,53.86,86.92,9.31,49.14,3.93,10.95,0.0,6.1,3.19,7.38,96.98,40.6,7.7,0.38,19.33,0.0,,25.73,6.42,83.7,3.81,5.16,2.92,4.66,1.33,10.78,7.2,2.83,5.34,9.92,3.75,4.33,38.45,44.33,38.68,0.82,250.69,9.11,123.88,24.6,220.64,22.53,15.47,200.49,7.3,64.8,12.57,7.29,21.23,5.37,2.41,9.98,1.83,21.39,19.91,1.48,6.78,3.18
50,BC,F,3,8.18,50.83,88.08,181.77,9.42,54.37,153.52,9.19,28.25,22.48,62.01,77.38,7.0,43.68,3.53,8.53,0.0,9.06,2.37,2.94,43.47,22.94,13.87,0.63,32.41,0.71,,42.89,8.85,19.95,3.63,2.46,3.87,4.7,4.39,7.66,7.66,0.62,1.93,12.07,2.08,5.77,28.13,29.33,30.29,0.63,119.75,11.45,87.75,24.11,302.85,21.1,9.52,290.81,3.28,64.73,10.38,0.0,7.36,3.98,1.47,42.68,0.96,40.92,37.25,3.66,21.86,6.23
59,CB,F,3,17.01,163.12,198.18,402.82,14.93,114.51,377.26,14.68,25.57,24.08,177.02,142.51,14.75,71.87,4.93,10.99,0.0,10.83,4.1,3.77,143.02,98.6,24.24,0.0,21.74,0.0,,8.75,11.06,82.17,0.91,0.0,3.64,1.02,3.25,11.54,8.73,2.61,12.23,15.57,3.53,4.16,83.61,37.21,18.57,0.43,192.39,15.14,160.73,97.95,339.15,89.95,32.17,247.3,21.23,110.37,23.97,9.57,47.26,17.49,13.26,65.4,5.25,85.04,82.17,2.87,32.57,3.37
68,CC,F,3,6.35,122.41,149.58,211.11,16.06,75.48,183.58,15.73,27.53,33.01,101.8,127.53,14.22,40.86,8.34,14.53,0.0,8.11,4.15,3.49,102.25,94.96,20.45,0.0,23.37,1.52,,6.2,14.61,113.77,12.8,1.14,0.87,20.1,0.0,2.64,2.64,3.92,13.82,19.49,4.87,10.9,25.88,72.14,43.72,2.4,324.48,17.09,162.89,54.32,330.71,49.66,41.71,257.64,11.77,147.02,35.47,7.39,26.71,10.54,6.91,18.94,1.91,31.73,29.66,2.08,6.82,2.52
77,CD,F,3,5.79,93.06,118.68,177.08,11.26,75.51,160.39,10.87,16.69,39.62,72.59,88.72,11.26,45.27,5.37,18.8,0.0,9.85,2.29,6.1,31.65,28.89,14.05,0.23,16.09,2.47,,14.93,15.91,76.35,0.0,0.0,3.17,4.14,3.94,5.86,0.73,1.38,3.44,13.57,3.47,5.2,46.96,44.23,34.34,1.03,198.55,12.55,148.4,27.37,266.06,25.32,14.37,236.29,12.96,74.28,16.8,0.76,27.46,9.48,3.72,18.61,1.07,28.94,28.2,0.73,9.13,2.45
86,DA,F,3,8.13,202.93,114.99,239.85,8.52,61.55,211.85,8.21,28.0,31.8,140.06,187.96,8.23,77.49,1.1,6.96,0.0,4.27,1.38,2.47,41.17,14.75,5.58,0.48,13.89,0.37,,8.14,10.9,26.25,1.29,1.46,1.6,0.8,0.77,7.75,6.5,2.99,9.92,10.57,1.35,5.55,23.28,25.02,13.09,1.31,64.45,9.26,70.97,42.07,185.65,36.6,29.7,133.88,16.35,127.17,30.65,7.9,18.9,6.54,5.8,23.54,0.86,40.66,37.95,2.7,13.87,11.51
