,county,sex,xiang,d001,d002,d003,d004,d005,d006,d007,d008,d009,d010,d011,d012,d013,d014,d015,d016,d017,d018,d019,d020,d021,d022,d023,d024,d025,d026,d027,d028,d029,d030,d031,d032,d033,d034,d035,d036,d037,d038,d039,d040,d041,d042,d043,d044,d045,d046,d047,d048,d049,d050,d051,d052,d053,d054,d055,d056,d057,d058,d059,d060,d061,d062,d063,d064,d065,d066,d067,d068,d069,d070,d071,d072,d073,d074,d075,d076,d077,d078,d079,d080,d081,d082,d083,d084,d085,d086,d087,d088,d089,d090,d091,d092,d093,d094,d095,d096,d097,d098,d099,d100,d101,d102,d103,d104,d105,d106,d107,d108,d109,d110,d111,d112,d113,d114,d115,d116,d117,d118,d119,d120,d121,d122,d123,d124,d125,d126,d127,d128,d129,d130,d131,d132,d133,d134,d135,d136,d137,d138,d139,d140,d141,d142,d143,d144,d145,d146,d147,d148,d149,d150,d151,d152,d153,d154,d155,d156,d157,d158,d159,d160,d161,g001,g002,g003,g004,g005
6,AA,T,1,2678.0,87.2,65.8,397.0,29.8,9.9,2.7,7.2,58.8,119.6,450.0,569.0,54.4,94.9,1.9,0.9,16.9,669.0,33.2,1.74,1526.0,355.0,8.4,9.99,5.33,35.7,12.86,1030.0,156.3,1186.0,85.8,14.2,48.7,17.1,72.9,27.1,483.9,21.6,0.0,16.4,34.8,225.7,128.1,6.2,2.2,2.5,0.0,17.7,67.9,57.3,10.6,69.4,1.3,45.7,47.0,8.3,11.9,23.0,8.8,0.0,8.0,7.7,3.53,4.46,5.98,1.27,13.03,2.88,1.48,3.06,5.01,3.28,1.29,2.56,3.26,2.96,2.89,2.38,1.0,2.65,3.5,28.84,35.64,20.72,195.7,0.75,32.6,42.1,23.2,1.92,0.84,4.0,31.47,27.29,4.7,37.2,30.8,0.87,0.9,22.4,3.95,116.2,0.94,0.46,5.0,12.0,1.86,14.27,1.53,109.1,12.3,13.5,5.18,26.7,31.37,3.91,43.69,286.2,143.0,46.6,1.86,74.6,30.6,308.5,450.0,8.7,12.78,12.48,58.6,0.001,0.001,0.022,0.006,0.114,0.001,0.485,0.007,0.015,0.002,16.13,1.71,0.105,0.015,0.016,5.65,30.14,37.07,4.66,0.045,0.332,0.154,0.046,0.0024,0.082,0.03,0.365,0.519,0.011,0.017,0.013,0.052,,,,,
7,AA,T,2,2637.0,69.8,65.0,432.0,23.2,9.8,2.4,7.5,66.2,123.7,380.0,503.0,31.1,81.7,1.4,0.7,14.5,538.0,36.2,1.87,1549.0,417.0,8.1,9.87,5.05,36.5,12.59,979.0,164.0,1143.0,86.3,13.7,47.0,17.9,76.0,24.0,501.0,21.8,1.5,20.4,30.9,174.1,129.3,8.3,6.7,0.0,1.1,18.3,81.7,63.8,17.9,57.7,5.2,24.7,29.9,8.6,12.3,25.6,7.6,0.0,11.9,1.9,3.68,4.89,6.29,1.43,13.09,3.01,1.61,2.95,5.37,3.37,1.38,2.81,3.37,3.28,3.09,2.48,1.02,2.66,3.66,25.25,23.58,18.98,209.7,0.67,35.3,35.9,26.3,1.46,1.09,2.6,20.76,23.88,4.1,31.5,33.3,0.74,1.0,28.2,4.5,147.6,0.92,0.54,6.5,12.2,2.18,12.74,1.35,145.0,14.1,14.4,5.04,23.51,20.66,2.57,51.76,228.7,106.5,57.6,0.99,81.6,16.5,164.6,263.0,11.3,14.82,9.14,11.8,0.001,0.001,0.033,0.007,0.18,0.001,0.714,0.013,0.024,0.003,17.8,1.89,0.174,0.026,0.028,6.82,32.7,31.37,4.0,0.067,0.334,0.153,0.069,0.0015,0.107,0.037,0.257,0.466,0.021,0.027,0.017,0.024,,,,,
8,AA,T,3,2658.0,78.5,65.4,415.0,26.5,9.9,2.6,7.4,62.5,121.7,415.0,536.0,42.8,88.3,1.6,0.8,15.7,604.0,34.7,1.81,1538.0,386.0,8.3,9.93,5.19,36.1,12.72,1005.0,160.2,1165.0,86.0,13.9,47.9,17.5,74.5,25.6,492.4,21.7,0.8,18.4,32.9,199.9,128.7,7.3,4.5,1.3,0.6,18.0,74.8,60.5,14.3,63.6,3.3,35.2,38.5,8.5,12.1,24.3,8.2,0.0,10.0,4.8,3.6,4.67,6.14,1.35,13.06,2.94,1.55,3.01,5.19,3.33,1.33,2.69,3.31,3.12,2.99,2.43,1.01,2.66,3.58,27.05,29.61,19.85,202.7,0.71,34.0,39.0,24.8,1.69,0.97,3.3,26.12,25.59,4.4,34.4,32.0,0.81,1.0,25.3,4.23,131.9,0.93,0.5,5.8,12.1,2.02,13.51,1.44,127.0,13.2,14.0,5.11,25.11,26.02,3.24,47.73,257.4,124.8,52.1,1.43,78.1,23.6,236.6,357.0,10.0,13.8,10.81,35.2,0.001,0.001,0.028,0.007,0.147,0.001,0.6,0.01,0.019,0.003,16.96,1.8,0.139,0.021,0.022,6.24,31.42,34.22,4.33,0.056,0.333,0.153,0.058,0.0019,0.095,0.034,0.311,0.493,0.016,0.022,0.015,0.038,31.1,121.4,50.0,1.0,4.0
15,AB,T,1,2633.0,64.8,64.7,440.0,21.9,10.0,1.9,8.1,66.9,321.8,1170.0,1492.0,45.1,136.3,1.2,0.8,13.2,727.0,31.6,2.32,1358.0,315.0,7.8,12.56,6.12,34.8,11.09,1014.0,155.0,1169.0,86.7,13.3,52.5,12.3,80.8,19.2,530.7,4.2,0.0,10.1,59.1,39.0,242.3,38.8,0.5,1.2,0.0,10.5,37.3,33.5,3.9,103.3,3.9,31.2,35.1,6.2,16.4,23.5,7.1,0.0,4.2,6.5,3.38,4.68,5.7,1.25,11.08,2.89,1.41,2.68,4.94,3.11,1.29,2.53,3.16,2.75,2.94,2.36,1.05,2.47,3.42,21.13,26.46,15.84,153.1,0.66,32.3,41.5,24.1,1.92,0.95,3.17,23.18,19.99,5.1,36.3,30.5,0.65,0.6,15.9,1.66,85.1,0.69,0.36,2.5,7.2,1.02,10.82,1.12,77.2,16.6,16.0,4.08,19.63,23.11,3.13,49.45,199.0,119.8,33.8,1.6,53.4,16.1,202.6,250.0,6.0,7.56,6.26,19.5,0.001,0.001,0.023,0.003,0.125,0.001,0.538,0.004,0.014,0.002,16.52,1.72,0.111,0.025,0.025,6.12,29.97,36.14,5.01,0.071,0.312,0.182,0.05,0.0027,0.082,0.032,0.327,0.397,0.013,0.013,0.014,0.043,,,,,
16,AB,T,2,2788.0,65.1,67.2,479.0,20.9,9.7,1.9,7.8,68.8,94.7,1120.0,1215.0,38.3,139.5,1.4,0.8,12.9,630.0,26.6,2.32,1317.0,291.0,7.9,10.19,5.12,32.2,11.2,1037.0,138.1,1175.0,88.2,11.8,53.8,13.4,80.2,19.8,584.4,13.6,0.0,8.7,24.5,32.4,264.6,28.2,0.0,5.8,0.0,12.2,60.6,42.9,17.6,63.1,2.3,30.0,32.4,7.0,12.9,19.1,6.6,0.0,3.6,2.5,3.4,4.65,5.43,1.27,12.33,2.82,1.44,2.55,4.89,2.99,1.32,2.59,3.11,2.83,2.95,2.33,1.07,2.42,3.42,22.12,24.79,16.49,140.1,0.64,32.4,41.5,23.7,1.93,0.91,3.0,21.62,20.85,5.2,36.1,30.5,0.65,0.7,21.7,2.61,113.7,0.65,0.43,9.6,12.6,1.35,11.22,1.25,108.5,9.1,10.6,4.22,20.52,21.54,2.98,38.56,219.0,92.5,47.3,1.43,64.0,10.9,196.9,234.0,13.1,13.33,1.93,5.5,0.001,0.001,0.024,0.005,0.136,0.001,0.56,0.017,0.024,0.003,16.42,1.89,0.122,0.015,0.017,5.77,29.91,35.97,5.2,0.061,0.346,0.128,0.056,0.0035,0.088,0.027,0.337,0.413,0.024,0.026,0.005,0.014,,,,,
17,AB,T,3,2711.0,65.0,66.0,460.0,21.4,9.8,1.9,8.0,67.9,208.3,1145.0,1354.0,41.7,137.9,1.3,0.8,13.1,679.0,29.1,2.32,1338.0,303.0,7.9,11.38,5.62,33.5,11.14,1026.0,146.6,1172.0,87.5,12.6,53.1,12.9,80.5,19.5,557.6,8.9,0.0,9.4,41.8,35.7,253.5,33.5,0.3,3.5,0.0,11.3,49.0,38.2,10.8,83.2,3.1,30.6,33.8,6.6,14.7,21.3,6.8,0.0,3.9,4.5,3.39,4.67,5.57,1.26,11.71,2.85,1.43,2.62,4.92,3.05,1.31,2.56,3.14,2.79,2.95,2.35,1.06,2.45,3.42,21.63,25.63,16.16,146.6,0.65,32.4,41.5,23.9,1.93,0.93,3.08,22.4,20.42,5.2,36.2,30.5,0.65,0.7,18.8,2.13,99.4,0.67,0.4,6.0,9.9,1.19,11.02,1.19,92.9,12.9,13.3,4.15,20.07,22.32,3.06,44.01,209.0,106.2,40.5,1.52,58.7,13.5,199.8,242.0,9.6,10.45,4.09,12.5,0.001,0.001,0.024,0.004,0.131,0.001,0.549,0.011,0.019,0.003,16.47,1.8,0.117,0.02,0.021,5.95,29.94,36.05,5.11,0.066,0.329,0.155,0.053,0.0031,0.085,0.03,0.332,0.405,0.018,0.019,0.009,0.028,31.2,121.1,50.0,1.0,4.0
24,AC,T,1,2569.0,70.5,59.0,421.0,24.1,9.4,1.8,7.6,65.8,124.2,600.0,724.0,39.8,121.7,1.8,0.9,14.9,668.0,26.5,1.89,1352.0,285.0,7.7,8.79,4.26,29.7,10.43,1113.0,118.7,1232.0,89.6,10.4,48.1,10.8,81.1,18.9,503.6,4.1,0.0,68.1,55.1,213.8,188.1,11.9,0.0,1.7,0.0,10.0,61.5,47.5,14.1,46.1,1.1,29.0,30.1,11.0,11.5,13.3,7.1,0.0,0.0,1.8,3.02,4.05,5.09,1.15,10.39,2.49,1.24,2.57,4.27,2.6,1.11,2.26,2.86,2.49,2.55,2.01,0.94,2.31,3.04,24.41,25.86,18.32,124.9,0.64,32.8,40.8,24.2,1.9,0.96,2.93,22.74,23.15,4.7,35.8,31.1,0.7,0.8,25.2,2.89,130.7,0.73,0.48,4.5,8.1,0.98,12.47,1.24,125.5,9.5,8.7,4.74,22.85,22.66,2.91,34.29,224.3,95.5,53.1,1.13,69.7,10.2,198.3,214.0,6.9,9.95,4.49,15.5,0.001,0.001,0.026,0.005,0.136,0.001,0.554,0.008,0.015,0.001,16.77,1.66,0.129,0.013,0.013,5.99,30.63,35.7,4.69,0.042,0.332,0.118,0.058,0.0017,0.084,0.018,0.327,0.353,0.014,0.017,0.007,0.025,,,,,
25,AC,T,2,2610.0,61.2,65.9,446.0,19.8,10.1,2.2,7.9,69.6,84.0,287.0,371.0,32.7,52.2,1.7,0.8,15.0,546.0,30.2,1.95,1225.0,316.0,9.7,9.73,4.75,34.6,11.1,928.0,166.9,1095.0,85.1,14.9,50.3,15.6,78.4,21.6,561.8,0.0,1.3,7.0,42.3,126.2,106.1,23.4,0.0,0.0,0.0,5.5,41.4,41.4,0.0,120.0,0.0,23.1,23.1,2.2,12.7,18.9,5.9,0.0,0.0,2.7,3.49,4.67,5.83,1.28,11.37,2.96,1.41,2.94,4.93,3.15,1.32,2.59,3.21,2.76,2.86,2.3,1.04,2.63,3.44,21.13,22.46,15.88,136.6,0.66,32.9,40.5,24.1,1.81,0.92,2.61,19.68,19.96,5.0,35.3,31.1,0.61,0.6,21.9,3.56,115.7,0.61,0.46,9.4,17.2,0.91,10.93,1.15,108.1,15.7,11.6,3.93,19.69,19.58,2.5,35.72,206.8,91.4,49.6,1.83,57.0,52.4,143.7,177.0,19.5,24.85,11.69,54.5,0.001,0.001,0.021,0.008,0.122,0.001,0.617,0.018,0.039,0.003,17.23,1.81,0.102,0.041,0.027,5.4,30.59,35.11,4.71,0.052,0.327,0.147,0.054,0.0042,0.103,0.139,0.274,0.346,0.043,0.056,0.036,0.146,,,,,
26,AC,T,3,2590.0,65.9,62.5,434.0,22.0,9.8,2.0,7.8,67.7,104.1,444.0,548.0,36.3,87.0,1.8,0.9,15.0,607.0,28.4,1.92,1289.0,301.0,8.7,9.26,4.5,32.1,10.77,1021.0,142.8,1164.0,87.3,12.7,49.2,13.2,79.8,20.3,532.7,2.0,0.7,37.5,48.7,170.0,147.1,17.6,0.0,0.8,0.0,7.8,51.5,44.5,7.0,83.0,0.6,26.1,26.6,6.6,12.1,16.1,6.5,0.0,0.0,2.3,3.26,4.36,5.46,1.22,10.88,2.73,1.32,2.75,4.6,2.88,1.22,2.42,3.04,2.63,2.71,2.15,0.99,2.47,3.24,22.77,24.16,17.1,130.8,0.65,32.9,40.6,24.2,1.85,0.94,2.77,21.21,21.55,4.9,35.5,31.1,0.66,0.7,23.6,3.23,123.2,0.67,0.47,7.0,12.7,0.95,11.7,1.2,116.8,12.6,10.2,4.33,21.27,21.12,2.71,35.01,215.6,93.5,51.4,1.48,63.4,31.3,171.0,196.0,13.2,17.4,8.09,35.0,0.001,0.001,0.024,0.007,0.129,0.001,0.586,0.013,0.027,0.002,17.0,1.74,0.116,0.027,0.02,5.7,30.61,35.41,4.7,0.047,0.33,0.133,0.056,0.0029,0.093,0.079,0.301,0.349,0.028,0.037,0.021,0.085,31.0,121.2,50.0,1.0,4.0
33,BA,T,1,2559.0,25.1,71.2,512.0,8.8,11.1,0.0,11.1,80.1,2.0,615.0,617.0,25.0,65.0,3.2,0.7,18.5,471.0,36.3,2.81,1935.0,443.0,10.5,5.98,2.56,34.5,12.58,1148.0,1.7,1150.0,99.9,0.1,71.1,0.2,99.8,0.2,13.9,508.9,160.4,35.2,9.7,206.6,192.0,3.1,0.0,0.0,0.0,0.0,1.7,1.7,0.0,0.0,0.0,7.0,7.0,2.4,8.7,0.0,24.3,0.0,0.0,0.0,3.34,3.56,4.51,1.76,23.03,2.95,1.63,2.89,5.99,2.23,1.1,2.85,3.64,7.34,3.49,2.31,0.95,2.41,3.7,6.37,12.65,5.84,1.4,0.62,25.1,49.6,24.5,2.11,0.52,1.32,11.32,6.08,5.0,44.5,24.0,0.25,0.3,1.3,0.25,6.0,0.25,0.11,0.3,9.4,18.53,4.77,0.26,5.5,9.3,9.3,0.84,5.98,11.32,1.32,2.64,45.0,55.1,2.3,0.25,2.3,0.3,45.3,49.0,0.3,0.25,0.25,0.3,0.001,0.001,0.004,0.001,0.019,0.001,0.509,0.001,0.046,0.091,20.53,0.97,0.017,0.046,0.046,3.14,23.62,44.5,5.04,0.007,0.113,0.251,0.007,0.001,0.007,0.001,0.117,0.127,0.001,0.001,0.001,0.001,,,,,
