,county,sex,xiang,q005,q006,q012,q013,q014,q019,q022,q027,q028,q029,q030,q053,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q065,q066,q067,q068,q069,q089,q090,q091,q092,q099,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118,q128,q129,q130,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q142,q143,q144,q145,q146,q147,q148,q157,q158,q159,q160,q161,q162,q163,q164,q166,q167,q168,q169,q170,q171,q172,q173,q174,q175,q176,q177,q178,q179,q180,q181,q182,q183,q184,q185,q186,q187,q188,q190,q191,q192
3,AC,F,1,4.0,0.0,4.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0,0.0,0.0,16.0,84.0,0.0,44.0,44.0,0.0,0.0,44.0,8.0,4.0,,1.7,,52.9,154.0,50.2,21.1,36.0,24.0,13.6,4.0,4.0,4.0,0.5,8.0,8.0,122.0,79.7,101.0,1.89,2.51,1.83,1.84,2.46,1.79,1.3,0.2,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,503.6,4.9,2.1,0.0,0.0,5.9,8.1,19.6,60.0,48.0,1.6,18.0,61.3,60.0,308.0,70.0,53.2,156.0,70.6,0.0,0.0,37.5,0.0,41.7,0.0,0.0,41.7,17.1,27.5,3.9,50.0,3.5,0.4,2.9
4,AC,F,2,3.2,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,9.7,48.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3.2,0.0,0.0,0.0,0.0,93.5,3.2,,1.9,,53.4,152.0,50.3,21.7,12.9,6.5,3.4,3.2,3.2,3.2,0.6,3.2,3.2,124.0,78.1,101.0,1.85,2.35,1.77,1.78,2.27,1.68,1.4,0.1,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,468.4,0.3,0.3,0.0,0.0,1.1,0.9,18.3,45.2,41.9,0.7,17.6,47.1,65.0,271.0,47.2,52.6,67.7,98.7,0.0,0.0,20.0,0.0,30.0,0.0,0.0,30.0,16.8,28.7,3.9,49.0,3.7,0.7,3.1
5,AC,F,3,3.6,0.0,2.0,8.8,0.0,10.0,0.0,0.0,0.0,4.8,48.2,0.0,8.0,0.0,0.0,8.0,92.0,0.0,23.6,22.0,0.0,0.0,22.0,50.8,3.6,,1.8,,53.1,153.0,50.3,21.4,24.4,15.3,8.5,3.6,3.6,3.6,0.6,5.6,5.6,123.0,78.9,101.0,1.87,2.43,1.8,1.81,2.37,1.74,1.4,0.2,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,486.0,2.6,1.2,0.0,0.0,3.5,4.5,19.0,52.6,45.0,1.2,17.8,54.2,63.0,290.0,58.6,52.9,111.9,84.7,0.0,0.0,28.8,0.0,35.9,0.0,0.0,35.9,17.0,28.1,3.9,49.5,3.6,0.6,3.0
12,BA,F,1,3.1,0.0,0.0,0.0,0.0,6.3,0.0,6.3,0.0,9.4,75.0,0.0,6.3,18.8,71.9,96.9,3.1,0.0,0.0,75.0,6.3,18.8,100.0,0.0,0.0,,3.0,,49.6,155.0,59.6,24.8,12.5,12.5,12.5,15.6,0.0,9.4,0.2,3.1,3.1,129.0,85.6,107.5,2.1,2.62,2.33,2.14,2.66,2.38,1.1,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,37.2,408.1,77.1,0.0,14.6,6.8,27.4,13.6,0.0,0.0,0.8,12.8,24.0,20.0,266.0,29.7,4.4,97.1,42.0,0.0,6.3,0.0,6.3,0.0,0.0,0.0,0.0,17.6,28.9,4.6,48.0,6.0,0.5,5.4
13,BA,F,2,5.9,0.0,0.0,0.0,0.0,5.9,2.9,0.0,0.0,8.8,47.1,0.0,0.0,5.9,91.2,97.1,2.9,0.0,0.0,44.1,11.8,44.1,100.0,0.0,0.0,,3.6,,47.4,154.0,52.4,22.1,29.4,23.5,18.8,17.6,5.9,17.6,1.6,17.6,5.9,122.0,76.8,99.3,2.06,2.46,2.26,2.16,2.58,2.4,1.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.4,434.9,87.6,1.0,21.4,7.5,53.1,16.9,2.9,2.9,0.4,16.6,31.1,18.0,246.0,18.7,7.7,70.1,63.9,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,16.9,29.4,4.5,48.0,4.5,0.8,3.7
14,BA,F,3,4.5,0.0,0.0,0.0,0.0,6.1,1.4,3.1,0.0,9.1,61.1,0.0,3.1,12.4,81.6,97.0,3.0,0.0,0.0,59.6,9.1,31.5,100.0,0.0,0.0,,3.3,,48.5,155.0,56.0,23.5,20.9,18.0,15.7,16.6,3.0,13.5,0.9,10.4,4.5,126.0,81.2,103.4,2.08,2.54,2.29,2.15,2.62,2.39,1.1,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,42.3,421.5,82.3,0.5,18.0,7.2,40.3,15.3,1.4,1.4,0.6,14.7,27.6,19.0,256.0,24.2,6.1,83.6,53.0,0.0,19.8,0.0,19.8,0.0,0.0,0.0,0.0,17.3,29.1,4.5,48.0,5.3,0.7,4.6
21,CB,F,1,0.0,0.0,0.0,0.0,0.0,27.8,2.8,2.8,0.0,16.7,88.9,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,66.7,33.3,100.0,0.0,0.0,,3.9,,44.1,156.0,58.4,24.1,16.7,16.7,11.1,11.1,0.0,11.1,0.3,8.3,2.8,126.0,76.5,101.1,1.7,1.98,2.28,1.78,2.06,2.38,0.3,0.2,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.6,259.5,114.9,2.7,153.3,21.8,0.4,12.4,0.0,0.0,1.0,11.9,44.7,50.0,35.0,16.1,0.0,32.5,130.7,0.0,50.0,0.0,42.9,0.0,0.0,0.0,0.0,14.4,27.0,3.1,49.0,2.9,0.1,2.8
23,CB,F,3,0.0,0.0,0.0,0.0,0.0,28.7,1.4,1.4,0.0,8.3,81.5,0.0,0.0,0.0,98.2,98.2,1.9,0.0,0.0,0.0,33.4,66.7,100.0,0.0,0.0,,4.0,,44.6,157.0,58.8,23.9,10.2,8.3,5.5,5.5,0.0,5.5,0.1,4.2,1.4,121.0,75.5,98.3,1.66,1.98,1.94,1.84,2.19,2.16,0.4,0.1,1.9,1.9,,1.9,,16.0,,1.9,1.9,0.3,,0.3,0.0,0.36,,0.0,0.0,0.0,0.0,0.0,0.0,76.5,247.7,89.2,1.4,124.6,11.3,0.2,14.4,0.0,0.0,0.7,13.9,26.7,60.0,38.0,8.1,0.0,42.6,144.9,0.0,50.0,0.0,42.9,0.0,0.0,0.0,0.0,14.3,28.1,3.9,49.5,2.8,0.2,2.6
30,CC,F,1,22.9,0.0,2.9,2.9,0.0,28.6,0.0,14.3,2.9,14.3,80.0,0.0,0.0,14.3,0.0,14.3,85.7,0.0,0.0,0.0,85.7,0.0,85.7,14.3,0.0,,3.4,,52.1,156.0,57.4,23.7,45.7,34.3,22.6,14.3,0.0,14.3,0.6,11.4,0.0,107.0,67.1,87.2,2.11,2.65,2.42,2.16,2.7,2.46,1.8,0.4,5.7,2.9,,2.9,,33.5,,0.0,5.7,0.2,,0.2,0.0,0.19,,0.0,2.9,0.0,0.0,0.0,0.0,13.0,545.0,3.0,0.1,23.2,7.7,24.7,15.5,5.7,0.0,0.7,14.8,92.2,46.0,74.0,26.3,8.0,61.8,190.3,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,27.7,4.3,49.0,4.9,1.3,3.6
31,CC,F,2,23.5,0.0,0.0,2.9,0.0,20.6,2.9,2.9,2.9,14.7,73.5,0.0,0.0,5.9,0.0,5.9,94.1,0.0,0.0,29.4,44.1,0.0,73.5,26.5,0.0,,2.7,,52.6,155.0,56.6,23.5,50.0,41.2,35.5,17.6,14.7,11.8,1.5,8.8,2.9,113.0,69.9,91.3,2.28,2.83,2.29,2.34,2.9,2.35,2.3,0.6,11.8,11.8,,11.8,,32.8,,5.9,11.8,1.0,,1.0,0.0,1.16,,0.0,0.0,2.9,0.0,0.0,0.0,8.3,506.0,6.0,0.1,20.9,6.1,45.1,16.8,8.8,0.0,2.1,14.6,77.7,18.0,93.0,39.7,8.2,123.4,131.6,38.9,25.0,0.0,25.0,0.0,0.0,42.9,12.5,16.4,37.4,4.0,49.0,4.8,0.8,4.0
