,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m013,m014,m015,m016,m017,m018,m019,m020,m021,m022,m023,m024,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m076,m077,m078,m079,m080,m081,m082,m083,m084,m085,m086,m087,m088,m089,m090,m091,m092,m093,m094,m095,m096,m097,m098,m099,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119
5,ZA,F,3,1.28,20.17,56.51,56.34,6.23,42.35,35.02,5.78,21.32,45.56,1.75,14.79,0.33,0.25,0.35,6.87,0.07,0.86,0.02,0.21,0.0,7.68,1.94,0.65,5.09,4.61,1.53,17.44,17.44,0.58,21.2,5.53,2.07,0.43,,35.89,19.63,25.44,5.03,1.86,4.85,0.59,52.19,50.79,0.0,0.41,0.46,1.02,0.18,0.51,2.4,5.07,0.52,0.85,0.48,0.37,3.11,1.89,0.31,3.56,20.56,31.23,1.35,104.63,1.77,84.86,2.92,26.64,2.14,9.61,15.56,1.12,37.9,3.14,0.11,0.67,0.81,25.64,1.39,46.84,2.44,24.37,,24.37,23.22,0.37,0.06,1.9,1.97,2.94,15.68,16.81,35.14,7.37,20.78,1.59,3.14,3.11,8.68,1.15,1.67,5.01,0.12,6.4,5.08,1.32,0.52,0.11,1.83,0.15,1.05,0.95,0.45,0.06,0.14,0.0,0.0,0.11
14,ZB,F,3,1.49,22.27,62.24,63.18,7.46,46.53,38.81,6.82,24.37,63.69,2.38,15.42,0.46,0.37,0.49,7.49,0.05,0.47,0.0,0.2,0.0,7.91,1.94,1.48,4.64,4.32,1.54,18.98,19.27,0.44,24.63,4.78,1.79,0.22,,29.61,17.73,28.48,5.38,1.99,3.64,0.59,58.0,55.03,0.09,0.65,0.73,1.67,0.23,1.27,2.47,7.03,0.32,0.9,0.45,1.05,3.39,2.48,0.14,4.13,28.25,27.77,1.26,133.35,2.13,114.35,3.07,30.87,2.42,11.86,17.58,1.87,50.28,2.42,0.0,0.47,1.11,34.39,1.56,59.01,4.39,29.83,,29.83,28.05,0.25,0.24,1.93,4.0,3.29,24.11,20.74,48.34,9.29,26.04,3.02,3.56,2.87,13.76,0.76,1.5,6.02,0.1,7.44,5.76,1.68,0.57,0.15,1.79,0.2,1.25,1.34,0.77,0.07,0.13,0.0,0.0,0.26
23,ZC,F,3,1.43,27.36,64.83,65.3,7.05,45.49,37.68,6.43,27.61,61.99,1.27,16.53,0.4,0.26,0.11,7.91,0.0,0.47,0.0,0.15,0.0,7.68,1.87,0.99,6.1,5.49,1.63,17.96,18.72,0.47,22.03,4.64,1.67,0.35,,31.62,15.79,28.26,5.29,1.91,4.17,0.49,56.69,54.86,0.06,0.59,0.51,1.7,0.23,2.55,2.88,6.47,0.39,0.87,0.38,0.76,3.86,2.39,0.18,6.34,25.34,35.99,1.62,133.95,2.24,105.49,3.32,32.49,2.25,12.23,17.81,1.15,41.37,3.24,0.0,1.13,0.68,26.06,1.15,48.09,3.06,23.48,,23.48,21.86,0.31,0.0,2.34,3.45,2.59,15.0,22.71,49.13,11.38,28.31,2.82,4.08,4.01,12.08,0.79,0.72,5.49,0.07,7.15,5.35,1.8,0.53,0.11,1.93,0.15,1.18,1.24,0.74,0.03,0.16,0.0,0.02,0.28
32,ZD,F,3,2.13,61.44,93.88,101.68,7.08,48.88,54.67,6.38,47.01,70.62,2.2,16.05,1.33,2.37,0.0,6.98,0.0,0.0,0.0,0.0,0.0,5.71,1.57,1.26,4.49,4.49,1.31,18.93,16.6,0.88,13.95,8.62,1.75,0.0,,20.48,9.09,31.76,8.44,1.98,2.93,0.0,45.91,44.16,0.0,0.0,0.64,0.0,0.0,0.0,3.97,7.63,0.0,0.0,0.0,0.0,5.31,3.1,0.0,2.74,18.29,39.12,1.54,198.49,3.77,111.96,7.29,22.78,5.75,10.74,9.23,1.3,27.5,1.75,0.0,0.0,1.3,19.5,2.18,33.45,0.0,18.97,,18.97,18.97,0.0,0.0,4.12,1.43,6.66,18.0,38.01,58.43,14.31,32.96,7.4,2.4,6.99,10.88,1.47,1.31,7.99,0.0,10.67,8.81,1.86,1.16,0.46,2.55,0.23,1.16,2.32,1.16,0.0,0.46,0.0,0.0,0.0
41,ZE,F,3,2.19,39.69,94.27,96.53,7.19,39.24,57.02,6.43,39.51,75.81,4.02,8.1,1.69,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,14.76,1.62,0.0,6.06,6.06,0.0,24.26,15.3,0.0,15.25,3.22,4.38,0.0,,26.04,11.28,24.46,6.45,4.72,3.22,0.0,57.17,50.95,0.0,0.0,1.52,2.77,0.0,1.7,2.45,4.84,0.0,0.0,0.0,2.77,2.07,2.67,0.0,6.45,13.69,44.99,1.23,143.2,0.85,123.96,6.96,21.91,2.54,16.37,8.31,3.68,48.48,6.93,0.0,5.54,3.68,28.39,3.68,43.64,0.0,28.97,,28.97,28.97,1.23,0.0,0.0,1.64,2.5,25.17,26.84,51.76,9.27,40.45,8.04,3.25,11.83,24.05,0.85,0.0,7.03,0.15,10.96,8.3,2.67,0.89,0.59,3.56,0.0,2.67,1.19,0.3,0.0,0.59,0.0,0.0,0.89
50,ZF,F,3,3.39,33.71,68.79,97.32,11.43,67.83,65.03,11.13,32.29,30.72,3.52,23.82,1.21,0.0,0.0,13.02,0.0,0.0,0.0,0.0,0.0,11.7,4.1,1.89,12.84,10.92,0.0,10.67,9.84,0.0,34.7,8.91,68.19,0.0,,119.02,14.84,30.57,5.74,2.33,6.24,1.21,96.41,80.51,0.0,10.48,2.18,4.38,0.0,0.0,5.93,13.05,2.31,5.18,0.0,1.92,3.78,3.53,1.1,9.07,24.27,42.71,0.97,217.93,2.81,134.79,11.88,44.16,11.88,21.42,22.7,1.19,64.46,13.98,0.0,1.92,0.0,32.05,0.0,66.75,2.46,25.54,,25.54,25.54,0.0,0.0,1.68,0.0,1.21,36.74,22.89,27.22,6.31,19.59,9.43,0.0,8.43,3.49,0.97,0.0,8.89,0.0,16.93,13.12,3.81,3.39,0.42,3.81,0.42,2.12,1.69,1.69,0.0,0.0,0.0,0.0,1.27
59,ZG,F,3,1.92,43.11,92.67,92.72,6.44,40.44,60.88,6.04,31.83,40.71,6.42,28.13,1.27,0.0,0.0,17.21,1.09,0.0,0.0,0.0,0.0,5.25,1.82,0.0,7.73,7.73,5.84,20.69,8.1,0.0,33.11,5.32,0.0,0.0,,25.61,13.77,23.14,4.8,1.09,2.25,1.09,64.06,64.06,0.0,0.0,0.0,2.92,0.0,0.0,5.26,0.0,0.0,0.0,2.37,0.0,12.76,2.05,0.95,6.41,29.81,18.57,5.2,103.41,7.56,102.04,4.74,22.32,4.74,2.25,16.19,0.0,35.65,0.0,0.0,0.0,0.0,21.53,0.0,54.64,2.4,19.07,,19.07,14.42,1.27,0.0,3.49,5.17,3.89,24.29,24.06,35.33,8.84,16.87,9.5,5.27,6.83,5.37,0.95,0.0,5.76,0.25,9.61,8.59,1.01,1.01,0.0,3.54,1.01,1.01,1.52,0.51,0.0,0.0,0.0,0.0,0.0
68,ZH,F,3,6.21,99.8,291.12,283.52,12.41,59.12,141.1,10.7,142.42,170.79,17.57,74.25,6.68,0.0,8.34,63.46,0.0,0.0,0.0,0.0,0.0,7.81,1.62,0.0,6.28,6.28,0.0,46.03,3.57,0.0,11.28,8.11,0.0,0.0,,36.02,0.0,14.43,8.11,4.15,3.6,1.32,64.28,51.27,1.32,6.28,0.0,0.0,3.86,4.58,10.53,6.28,2.71,6.28,1.2,0.0,21.31,5.13,0.0,6.28,61.62,34.22,10.87,336.14,10.44,176.66,17.25,60.72,15.73,33.31,21.13,14.72,78.21,3.65,0.0,0.0,10.77,63.23,10.77,74.52,0.0,26.87,,26.87,20.59,0.0,3.17,6.28,0.0,9.65,54.77,93.31,117.0,25.41,56.47,21.53,3.17,43.47,49.21,4.43,4.58,17.13,0.25,31.03,24.54,6.48,4.17,1.85,5.56,0.46,3.24,4.63,1.85,0.93,0.46,0.0,0.46,2.32
77,ZI,F,3,4.03,65.28,257.18,223.15,15.96,61.62,118.68,13.49,104.48,247.42,10.33,83.88,3.38,0.0,0.0,79.33,1.69,0.0,0.0,0.0,0.0,12.14,3.51,17.22,13.66,13.66,0.0,86.75,0.0,0.0,67.82,18.76,8.61,0.0,,40.22,8.61,38.29,9.95,3.39,17.22,4.77,47.82,42.77,1.69,0.0,0.0,8.61,0.0,5.4,10.16,14.7,3.38,0.0,0.0,0.0,28.27,4.63,2.07,28.81,77.66,57.41,9.24,189.09,19.04,274.33,11.85,117.56,11.85,52.79,51.61,12.88,172.83,15.86,0.0,5.6,12.88,122.23,12.88,190.05,10.25,28.96,,28.96,28.96,1.54,0.0,0.0,0.0,3.38,45.27,66.86,145.4,19.1,44.44,4.77,9.7,35.92,96.63,1.69,5.4,13.85,0.33,20.14,16.59,3.55,3.55,1.18,3.55,0.0,2.96,2.96,0.59,0.0,1.18,0.0,0.59,0.59
86,ZJ,F,3,2.78,74.99,139.88,141.05,14.28,68.47,79.89,13.24,61.16,104.3,14.86,165.6,7.01,13.97,3.69,126.16,0.0,7.24,0.0,0.0,0.0,4.24,3.08,4.55,57.69,57.69,0.0,47.8,0.0,0.0,44.27,0.0,0.0,0.0,,37.04,10.55,41.55,0.0,2.4,0.0,3.69,21.28,10.3,0.0,0.0,0.0,7.7,0.0,0.0,4.67,5.03,4.67,0.0,0.0,0.0,12.11,3.47,0.0,0.0,21.73,21.1,6.09,189.63,6.02,157.74,4.7,182.64,4.7,35.18,153.67,6.09,162.63,24.73,0.0,0.0,2.4,100.35,2.4,144.63,7.24,37.28,,37.28,37.28,3.69,0.0,0.0,12.52,8.94,40.24,53.66,104.3,28.72,27.1,18.3,10.73,3.69,0.0,3.81,0.0,9.19,0.45,13.89,10.63,3.27,0.82,2.45,0.82,0.0,0.82,1.63,0.82,0.0,0.82,0.0,0.0,2.45
