,county,sex,xiang,d001,d002,d003,d004,d005,d006,d007,d008,d009,d010,d011,d012,d013,d014,d015,d016,d017,d018,d019,d020,d021,d022,d023,d024,d025,d026,d027,d033,d034,d035,d036,d037,d038,d039,d040,d041,d042,d043,d044,d045,d046,d047,d048,d049,d052,d056,d057,d059,d063,d064,d065,d066,d067,d068,d069,d070,d071,d072,d073,d074,d075,d076,d077,d078,d079,d080,d081,d082,d083,d084,d085,d086,d087,d088,d089,d090,d091,d092,d093,d094,d095,d096,d097,d098,d099,d100,d101,d102,d103,d104,d105,d106,d107,d108,d109,d110,d111,d112,d113,d114,d115,d116,d117,d118,d119,d120,d121,d122,d123,d124,d125,d126,d127,d128,d129,d130,d131,d132,d133,d134,d135,d136,d137,d138,d139,d140,d141,d142,d143,d144,d145,d146,d147,d148,d149,d150,d151,d152,d153,d154,d155,d156,d157,d158,d159,d160,d161
8,AA,T,3,2521.0,48.6,63.9,431.0,17.4,10.1,1.3,8.8,68.4,51.1,550.0,601.0,15.7,87.3,1.9,0.7,18.6,504.0,31.5,2.12,1541.0,317.0,8.7,11.28,5.74,29.6,11.32,55.6,8.3,87.0,13.0,490.0,17.1,0.0,94.3,17.7,120.7,113.5,11.4,0.0,1.8,0.0,12.0,44.9,23.2,0.2,14.1,9.3,3.16,4.19,5.37,1.16,10.5,2.61,1.31,2.75,4.56,2.71,1.12,2.28,3.03,2.69,2.69,2.13,1.01,2.48,3.22,13.78,10.42,10.64,131.6,0.65,39.6,29.9,30.5,0.98,1.32,1.0,9.29,13.25,2.9,26.7,38.0,0.36,0.4,11.3,1.91,65.6,0.36,0.33,4.3,8.4,2.34,7.52,0.52,83.9,17.8,9.7,2.55,13.17,9.23,0.95,25.54,73.5,43.9,22.6,0.41,52.6,24.1,39.0,37.0,0.5,6.39,6.66,34.9,0.001,0.001,0.032,0.005,0.188,0.001,0.955,0.012,0.024,0.007,21.59,1.48,0.241,0.051,0.028,7.33,37.8,26.48,2.71,0.073,0.211,0.126,0.065,0.0012,0.151,0.069,0.112,0.106,0.001,0.018,0.019,0.1
17,AB,T,3,2704.0,65.8,71.8,444.0,21.9,10.6,1.4,9.2,65.7,98.3,400.0,498.0,10.9,88.2,2.3,0.8,19.9,454.0,39.4,2.34,1645.0,320.0,9.4,13.49,7.24,30.2,12.39,62.4,9.4,86.9,13.1,513.5,22.0,0.0,65.5,21.8,132.3,80.1,22.1,0.0,0.2,0.0,12.6,62.5,11.2,4.0,15.9,10.4,3.46,4.64,5.9,1.28,11.8,2.88,1.45,3.02,5.04,2.95,1.17,2.45,3.29,3.09,3.0,2.31,1.1,2.68,3.51,21.16,12.14,16.47,140.4,0.64,42.5,24.4,33.1,0.74,1.74,1.02,10.92,20.3,2.0,21.9,40.8,0.52,0.5,29.0,3.27,153.5,0.52,0.56,1.3,3.9,0.96,11.36,0.85,143.5,8.4,5.7,4.16,20.22,10.84,0.98,32.34,147.7,69.6,58.0,0.52,73.6,10.8,15.1,5.0,0.8,9.17,5.1,25.6,0.001,0.001,0.058,0.007,0.308,0.001,1.118,0.003,0.008,0.002,22.83,1.7,0.288,0.017,0.011,8.36,40.63,21.77,1.98,0.065,0.297,0.14,0.117,0.001,0.148,0.022,0.03,0.01,0.002,0.018,0.01,0.051
26,AC,T,3,2416.0,45.0,64.9,425.0,16.8,10.7,1.4,9.3,70.4,42.4,183.0,225.0,8.6,42.5,2.2,0.7,18.1,369.0,34.2,2.12,1358.0,285.0,8.8,12.6,6.19,29.1,10.98,56.2,8.7,86.7,13.3,532.0,3.8,0.0,23.2,4.0,212.6,31.6,7.1,0.0,0.0,0.0,10.0,24.0,32.4,0.1,16.3,8.6,3.18,4.27,5.33,1.15,10.18,2.6,1.27,2.6,4.51,2.63,1.12,2.27,2.9,2.46,2.68,2.1,1.0,2.43,3.18,10.76,7.88,8.34,109.9,0.62,39.9,29.2,30.9,0.94,1.36,0.72,7.12,10.36,2.7,26.4,38.4,0.28,0.3,6.1,3.73,44.6,0.28,0.3,6.1,13.2,1.57,6.07,0.39,53.3,22.5,11.4,1.78,10.32,7.05,0.58,6.33,59.6,22.5,12.0,0.29,44.4,43.2,10.4,18.0,0.3,15.32,17.77,94.2,0.001,0.001,0.023,0.014,0.165,0.001,1.11,0.023,0.049,0.006,22.49,1.43,0.198,0.084,0.042,6.58,38.24,26.11,2.16,0.023,0.221,0.083,0.044,0.0011,0.165,0.16,0.039,0.066,0.001,0.057,0.066,0.349
35,BA,T,3,2656.0,32.9,82.3,514.0,11.1,12.4,0.1,12.3,77.4,0.1,750.0,750.0,26.2,61.4,2.9,0.9,17.8,807.0,59.3,3.73,2882.0,641.0,10.9,13.18,2.41,38.5,14.84,81.9,0.4,99.5,0.5,4.5,400.2,257.9,4.9,0.0,177.8,198.0,2.6,0.0,0.0,0.0,0.0,4.4,0.0,1.6,27.4,37.4,4.29,3.99,5.31,2.05,23.43,3.46,1.9,3.3,7.33,2.75,1.27,3.32,4.12,7.89,3.87,2.73,1.05,2.81,4.33,12.09,18.31,9.37,24.7,0.69,30.4,46.0,23.6,1.95,0.66,1.42,16.63,10.71,3.6,41.8,26.9,0.4,0.4,2.8,0.4,15.0,0.4,0.28,0.4,40.4,16.0,7.18,1.55,12.7,8.8,8.8,1.79,10.41,16.62,1.42,3.57,38.8,54.3,5.3,0.4,5.3,0.4,46.5,248.0,0.4,0.4,0.4,0.4,0.001,0.001,0.007,0.001,0.038,0.001,0.711,0.001,0.102,0.04,18.06,3.9,0.032,0.022,0.022,4.51,26.18,41.8,3.56,0.009,0.098,0.137,0.013,0.001,0.013,0.001,0.117,0.624,0.001,0.001,0.001,0.001
44,BB,T,3,1855.0,22.6,45.6,361.0,11.0,9.8,0.1,9.7,77.8,5.1,3001.0,3006.0,18.5,61.3,2.3,1.0,13.6,465.0,34.4,1.79,1962.0,408.0,5.0,8.77,0.31,20.2,7.91,45.1,0.5,98.9,1.1,6.1,125.8,342.1,14.1,3.7,127.6,690.9,0.0,2.2,1.2,0.0,1.4,0.0,0.0,0.6,21.5,23.1,2.93,2.18,3.44,1.12,11.04,1.72,1.07,1.83,4.56,1.51,0.84,1.96,2.29,3.78,2.1,1.54,0.61,1.59,2.42,6.77,10.09,5.39,135.0,0.69,30.4,45.3,24.2,1.87,0.67,1.04,8.94,6.26,4.7,40.2,28.1,0.22,0.5,0.5,1.41,2.7,0.22,0.1,0.5,15.6,4.62,4.16,0.59,0.3,11.6,8.8,1.06,6.1,8.93,1.01,0.22,14.3,47.7,11.0,0.78,2.6,18.5,23.4,112.0,0.2,9.11,0.5,11.3,0.001,0.002,0.002,0.006,0.012,0.001,0.471,0.002,0.07,0.021,18.71,2.64,0.002,0.052,0.04,4.76,27.42,40.14,4.53,0.001,0.064,0.214,0.05,0.0035,0.012,0.083,0.105,0.501,0.001,0.041,0.002,0.051
53,BC,T,3,2549.0,32.8,84.7,480.0,11.6,13.3,0.7,12.6,75.3,17.0,467.0,484.0,22.5,127.1,2.7,0.7,16.8,509.0,35.6,3.4,2450.0,586.0,10.8,6.58,2.93,45.3,14.14,80.4,4.2,95.0,5.0,6.3,396.2,229.5,6.1,5.2,153.8,189.8,27.0,15.3,0.6,0.0,3.1,1.2,5.8,0.1,9.3,30.5,4.14,4.31,5.26,2.06,25.06,3.51,1.93,3.4,7.31,2.85,1.34,3.4,4.23,8.33,3.96,2.79,1.05,2.88,4.36,12.19,17.53,10.39,83.8,0.66,30.4,43.7,25.9,1.69,0.69,1.68,15.76,11.47,4.2,39.3,28.6,0.41,1.8,3.1,1.48,12.1,0.41,0.24,1.8,24.7,18.67,7.78,0.75,7.0,38.8,28.0,2.13,11.21,15.71,1.51,2.39,50.5,129.4,56.6,3.14,10.0,107.0,54.7,131.0,0.6,35.07,4.62,70.1,0.001,0.004,0.008,0.004,0.03,0.001,0.6,0.004,0.062,0.047,19.39,1.86,0.018,0.097,0.07,5.31,27.94,39.17,3.75,0.006,0.126,0.323,0.141,0.0078,0.025,0.267,0.136,0.327,0.001,0.087,0.012,0.175
62,CB,T,3,2398.0,26.1,64.9,476.0,9.8,10.8,0.1,10.7,79.4,5.7,533.0,539.0,25.7,82.4,3.3,1.0,14.5,454.0,49.3,3.04,2977.0,638.0,6.7,20.17,8.25,30.2,12.09,64.3,0.6,99.1,0.9,1.3,89.0,538.4,250.2,0.5,328.2,48.7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,30.3,20.7,4.28,2.56,5.28,1.39,13.87,1.99,1.26,2.53,6.49,1.77,1.46,2.85,3.12,4.61,2.83,2.18,1.02,1.88,3.22,4.96,12.28,6.47,54.4,0.69,20.9,51.8,27.3,1.9,0.4,2.96,9.29,4.75,12.5,39.2,20.0,0.24,0.2,0.2,1.66,6.0,0.24,0.03,0.2,3.1,4.27,5.45,0.21,0.7,3.7,2.7,0.96,4.7,9.29,2.96,1.47,17.7,15.2,0.2,0.24,3.1,0.2,24.2,30.0,0.2,3.56,0.24,0.2,0.001,0.001,0.001,0.007,0.025,0.001,0.114,0.001,0.013,0.018,22.97,0.88,0.003,0.015,0.011,4.07,19.84,39.15,12.47,0.006,0.074,0.064,0.001,0.001,0.013,0.001,0.102,0.125,0.001,0.015,0.001,0.001
71,CC,T,3,2276.0,20.6,61.5,453.0,8.1,10.8,0.1,10.7,79.6,1.8,267.0,269.0,19.9,63.0,2.7,0.5,15.1,387.0,34.8,2.56,1613.0,359.0,9.4,9.91,4.37,33.8,10.17,61.0,0.5,99.3,0.7,0.5,517.3,39.2,104.0,1.6,130.5,13.3,10.1,4.1,0.0,0.0,0.5,4.3,0.0,2.7,14.1,15.2,2.54,3.03,3.65,1.52,21.44,2.61,1.39,2.5,4.86,1.87,0.91,2.43,3.17,6.82,3.07,1.93,0.83,2.06,3.19,5.81,10.11,5.47,16.7,0.62,27.2,47.3,25.6,1.85,0.57,0.89,9.14,5.49,4.2,42.7,25.6,0.22,0.2,2.1,0.39,11.9,0.22,0.14,0.6,10.4,19.51,4.33,0.3,13.8,12.4,11.5,0.93,5.37,9.14,0.89,2.68,38.6,64.2,4.0,0.22,5.6,1.9,46.5,54.0,0.2,0.63,0.22,0.4,0.001,0.001,0.01,0.002,0.056,0.001,0.641,0.003,0.049,0.091,20.24,1.4,0.065,0.058,0.054,4.33,25.1,42.72,4.17,0.013,0.18,0.3,0.019,0.001,0.026,0.009,0.217,0.253,0.001,0.003,0.001,0.002
80,CD,T,3,3335.0,32.5,79.6,656.0,8.8,9.5,0.0,9.5,78.7,0.0,1000.0,1000.0,28.0,183.7,3.7,1.0,19.6,608.0,42.4,3.4,2710.0,576.0,11.1,12.98,6.65,37.6,13.64,79.3,0.3,99.7,0.3,0.6,348.8,343.0,493.4,33.9,226.6,12.4,3.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,16.1,30.5,3.92,3.76,4.99,1.91,22.92,3.07,1.75,3.09,6.9,2.43,1.21,3.13,3.93,7.53,3.66,2.47,0.99,2.6,4.02,6.9,12.69,5.8,19.8,0.65,27.2,50.0,22.8,2.19,0.54,1.08,11.59,6.68,4.2,45.7,26.3,0.26,2.3,1.0,0.58,12.3,3.25,0.11,0.3,8.4,16.35,4.81,0.18,4.1,10.1,9.9,0.81,6.58,11.59,1.08,1.07,29.0,77.8,1.8,0.26,2.4,0.3,31.9,18.0,0.3,1.01,0.26,0.3,0.001,0.009,0.004,0.002,0.049,0.013,0.414,0.001,0.033,0.064,18.94,0.71,0.016,0.04,0.039,3.21,25.93,45.64,4.24,0.004,0.114,0.307,0.007,0.001,0.01,0.001,0.126,0.069,0.001,0.004,0.001,0.001
89,DA,T,3,2897.0,48.5,85.5,536.0,15.1,11.8,0.3,11.5,74.0,2.9,550.0,553.0,32.1,122.9,3.2,0.7,18.7,591.0,38.4,3.39,2279.0,538.0,11.0,11.81,5.4,41.9,13.66,83.3,2.1,97.5,2.5,0.0,462.8,150.2,215.6,12.3,244.9,1.7,0.0,9.5,0.0,0.0,0.2,41.1,0.0,4.9,16.3,27.3,3.78,4.21,5.43,1.99,25.36,3.41,1.9,3.35,6.88,2.82,1.24,3.22,4.2,8.19,3.99,2.66,1.08,2.8,4.25,14.15,16.52,11.19,28.6,0.67,33.8,39.5,26.7,1.48,0.86,1.14,15.23,13.57,2.7,36.4,32.4,0.43,0.5,11.9,0.58,63.3,0.43,0.3,0.4,10.2,19.85,8.1,0.57,58.5,17.3,17.2,2.57,13.4,15.21,1.14,32.41,80.5,104.0,23.5,0.43,23.9,0.4,38.3,67.0,0.4,0.82,0.43,0.4,0.001,0.001,0.028,0.001,0.151,0.001,0.72,0.001,0.024,0.047,19.36,1.36,0.14,0.041,0.041,6.13,32.02,36.33,2.71,0.077,0.192,0.249,0.056,0.001,0.057,0.001,0.092,0.16,0.001,0.002,0.001,0.001
