,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
2,AA,M,3,3.67,72.03,124.01,143.89,14.87,97.1,80.0,13.95,63.9,92.12,16.63,172.86,0.78,103.03,0.26,0.43,28.07,14.0,5.44,5.34,95.11,156.31,18.09,2.83,105.99,5.42,105.56,,,,4.79,7.04,2.67,4.52,0.67,4.99,3.59,1.34,1.35,9.78,2.51,0.45,13.69,10.68,10.72,0.25,176.91,9.53,73.69,9.95,302.49,6.76,15.19,214.69,4.52,80.78,8.73,2.15,15.59,,,14.44,,18.36,10.61,7.75,4.13,0.0
5,AA,F,3,3.2,42.49,74.48,100.46,7.67,59.48,60.57,7.24,39.89,43.23,11.49,82.56,2.41,44.56,0.0,2.2,13.6,10.34,2.42,1.08,24.63,57.72,15.59,1.24,40.03,1.75,,29.18,10.78,12.67,2.08,1.57,3.5,7.37,1.06,5.13,3.95,0.72,5.88,9.17,1.92,1.61,19.89,8.89,9.01,0.92,135.01,8.25,56.51,5.05,106.15,3.31,9.24,77.83,2.41,49.04,2.7,3.16,12.62,1.0,0.0,12.64,0.31,16.02,9.71,6.3,4.73,0.09
8,AA,T,3,3.44,57.26,99.25,122.17,11.27,78.29,70.28,10.6,51.9,67.67,14.06,127.71,1.6,73.8,0.13,1.32,20.84,12.17,3.93,3.21,59.87,107.02,16.84,2.04,73.01,3.58,,,,,3.44,4.3,3.08,5.95,0.87,5.06,3.77,1.03,3.62,9.47,2.21,1.03,16.79,9.79,9.87,0.59,155.96,8.89,65.1,7.5,204.32,5.04,12.21,146.26,3.46,64.91,5.72,2.66,14.11,,,13.54,,17.19,10.16,7.03,4.43,0.04
11,AB,M,3,5.01,67.69,138.61,170.09,16.66,110.54,91.44,15.81,78.66,85.59,29.91,351.65,4.18,195.05,1.01,3.38,91.76,12.92,5.16,5.85,71.07,171.88,45.78,1.85,101.78,0.77,79.23,,,,4.8,3.91,2.58,8.16,1.81,4.61,4.61,0.5,1.09,13.46,2.1,1.53,10.39,7.02,7.58,1.55,148.25,11.91,61.62,14.94,399.23,12.9,20.35,375.96,4.58,58.61,15.45,2.01,21.42,,,13.81,,25.04,14.33,10.71,3.97,0.0
14,AB,F,3,3.84,51.36,101.97,127.78,8.83,65.11,80.46,8.41,47.33,41.93,23.16,149.44,2.8,33.97,0.77,0.84,84.7,15.21,2.81,2.04,31.17,65.81,42.62,0.79,46.65,0.0,,27.54,8.05,20.67,1.66,1.1,3.59,5.4,1.3,4.4,3.6,0.24,1.76,9.52,1.53,1.0,9.76,12.53,3.14,0.86,100.11,8.66,53.3,10.83,157.18,9.02,14.47,141.77,1.0,46.74,5.03,0.8,19.69,1.75,0.4,11.57,0.37,19.19,11.97,7.22,3.75,0.0
17,AB,T,3,4.42,59.52,120.29,148.94,12.75,87.83,85.95,12.11,62.99,63.76,26.54,250.54,3.49,114.51,0.89,2.11,88.23,14.07,3.99,3.94,51.12,118.84,44.2,1.32,74.22,0.39,,,,,3.23,2.51,3.08,6.78,1.56,4.51,4.11,0.37,1.43,11.49,1.82,1.27,10.08,9.78,5.36,1.21,124.18,10.29,57.46,12.88,278.21,10.96,17.41,258.87,2.79,52.68,10.24,1.41,20.56,,,12.69,,22.12,13.15,8.96,3.86,0.0
20,AC,M,3,3.97,77.18,118.0,146.22,15.07,104.73,78.25,14.26,67.97,80.21,25.94,213.13,2.67,129.88,0.38,1.9,49.83,8.63,4.41,3.02,70.71,141.87,24.61,1.03,89.83,3.36,70.33,,,,2.42,1.56,1.86,4.26,0.48,2.97,2.57,0.66,1.46,9.28,2.1,0.38,6.96,7.03,8.17,0.61,133.59,8.66,76.59,12.3,405.19,9.99,11.52,279.48,3.75,80.99,4.13,9.4,11.74,,,9.09,,19.86,11.52,8.34,3.35,0.0
23,AC,F,3,3.13,47.66,71.48,99.12,8.27,67.32,62.52,7.93,36.6,34.09,18.13,87.79,2.08,34.47,0.0,3.11,23.45,9.25,2.22,1.42,17.82,51.55,31.11,0.86,42.51,1.41,,21.76,9.53,12.03,1.8,2.25,1.72,5.12,0.0,2.71,1.65,0.27,4.47,7.5,1.69,1.02,16.19,5.71,6.59,0.27,109.99,7.23,59.35,11.05,201.48,8.67,10.6,148.74,2.88,50.3,0.82,3.29,15.61,2.33,0.0,7.63,0.45,15.63,9.32,6.31,2.31,0.0
26,AC,T,3,3.55,62.42,94.74,122.67,11.67,86.03,70.39,11.1,52.29,57.15,22.04,150.46,2.38,82.17,0.19,2.5,36.64,8.94,3.32,2.22,44.27,96.71,27.86,0.95,66.17,2.38,,,,,2.11,1.91,1.79,4.69,0.24,2.84,2.11,0.47,2.96,8.39,1.9,0.7,11.58,6.37,7.38,0.44,121.79,7.95,67.97,11.68,303.33,9.33,11.06,214.11,3.31,65.64,2.48,6.35,13.68,,,8.36,,17.75,10.42,7.33,2.83,0.0
29,BA,M,3,8.42,113.88,124.89,224.26,20.41,97.38,177.03,19.55,47.23,86.01,88.59,205.66,4.87,101.61,2.88,10.12,0.0,8.87,8.07,5.11,574.98,80.63,14.19,0.0,50.12,0.0,57.93,,,,4.41,1.99,1.83,1.58,1.36,12.51,10.65,2.63,6.87,13.07,3.43,2.45,12.16,61.47,46.42,0.23,206.79,12.84,136.1,37.34,366.03,32.98,22.33,285.1,14.91,156.0,37.08,8.87,23.93,,,31.63,,42.12,38.39,3.73,12.92,6.12
