,m001_ALL0_4,m002_ALL5_14,m003_ALL15_34,m004_ALL0_34,m005_ALL35_69,m006_ALL70_79,m007_MEDICALb,m008_MEDICALc,m009_NONMEDb,m010_NONMEDc,m011_INFECTb,m012_INFECTc,m013_INTESTINb,m014_INTESTINc,m015_PULMTBb,m016_PULMTBc,m017_OTHERTBb,m018_OTHERTBc,m019_VIRALHEPb,m020_VIRALHEPc,m021_SCHISTOc,m022_ALLCAb,m023_ALLCAc,m024_MOUTHCAc,m025_NASOPCAc,m026_NPConlyc,m027_OESOPHCAc,m028_OESOPHCAc,m029_COLRECCAc,m030_LIVERCAb,m031_LIVERCAc,m032_PANCRSCAc,m033_BLADDCAc,m034_LARYNXCAc,m039_BRAINCAc,m040_LYMPHOMAc,m041_LEUKEMIAb,m042_LEUKEMIAc,m043_ENDOCRINb,m044_ENDOCRINc,m045_DIABETESc,m046_MALNUTRIb,m047_MALNUTRIc,m048_BLOODb,m049_BLOODc,m050_MENTALb,m051_MENTALc,m052_NERVOUSb,m053_NERVOUSc,m054_MENINGITb,m055_MENINGITc,m056_EPILEPSYb,m057_EPILEPSYc,m058_ALLVASCb,m059_ALLVASCc,m060_RHEUMHDb,m061_RHEUMHDc,m062_HYPTENSc,m063_IHDc,m064_STROKEb,m065_STROKEc,m066_VASC_STRb,m067_VASC-STRc,m068_ALLRESPb,m069_ALLRESPc,m070_PNEUMONb,m071_PNEUMONc,m072_COPDc,m073_DIGESTIVb,m074_DIGESTIVc,m075_PEPULCERc,m076_ENTCOLc,m077_INTESTOBc,m078_CIRRHOSb,m079_CIRRHOSc,m080_TOTLIVRb,m081_TOTLIVRc,m082_GALLBILc,m083_GENITURc,m086_RENALc,m089_ALLSKINc,m090_MUSCSKELc,m091_ILL_DEFb,m092_ILL_DEFc,m093_ACCIDENTb,m094_ACCIDENTc,m095_ROADACCb,m096_ROADACCc,m097_DROWNb,m098_DROWNc,m099_SUICIDEb,m100_SUICIDEc,m101_HOMICIDEb,m102_HOMICIDEc,m103_INFANT,m105_ALLCUMa,m106_MEDICALa,m107_NONMEDa,m108_RESPINFa,m109_ALLGIa,m110_CONGENITa,m111_NTDa,m112_CONGENHDa,m113_PERINATa,m114_LOWBTHWTa,m115_BTHTRAUMa,m116_RDSa,m117_NEOTETANa,m118_MALNUTRIa,m119_DROWNa
q144,0.7284027998195484,0.0,1.6389400050268355,2.7688432180733296,-0.0,-2.772563222095682,10.846715559248144,-0.0,0.0,-0.0,1.2438195447924958,0.0,0.0,-0.061667195938935326,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.7210561049277028,-0.0,-0.6875498074030623,-0.0,0.0,0.0,-0.0,-0.0,-0.8613600895472276,-0.0,-4.732362869344065,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.10680989134679053,0.0,0.0,-0.0,0.0,-0.0,0.0694492031606238,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-5.234586253517355,0.0,-14.297492136025262,-0.02370332943391274,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.32894632928367845,0.0,0.0,-0.0,-0.0,0.5084286246145475,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.2606083513786492,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,2.9120070504868223,3.0810978580382447,4.263418217104149,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
m084_GENITURmc,0.4361828408937779,2.308852465498132,4.292511183397736,22.622661970450178,0.0,1.687709480342188,15.21856622105817,0.0,0.881334549200794,19.120987358258088,3.766563667504643,6.1090179189882665,1.1798920413524263,0.996414792030037,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-3.3953821958815187,1.1233840607827137,0.6089014236116397,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.019554994053433215,0.10872658578522267,0.0,0.9266696995485609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.007173412477851,0.0,-0.0,0.0,0.0,0.16787554794374596,-0.0,0.0,8.404974883922717,0.01981541018046774,3.1557103733206424,2.5562062188465444,0.37097889653685623,22.803213667817264,5.768670215772719,2.5411185963532437,3.3193022755797026,0.0,11.860394838048085,0.0,0.0,0.0,4.698604688256952,17.421859953463887,0.0,0.0,-0.0,0.0,0.0,10.002945690353053,0.8324440904924587,0.0,-0.0,0.0,0.0,5.9734367810223015,0.0,0.0,0.7691194338514677,3.6053487261396655,3.7082444619147084,-0.0,0.0,0.998152923064502,-0.0,-0.0,-0.0,0.9799386419598127,0.0,0.09812048671702113,0.0,0.17517882255515693,0.0,-0.0
q140,0.19419430591068534,0.0,0.43029718714429344,17.556579732274177,-0.0,0.0,4.695912622749021,-0.0,0.0,-0.0,8.037728050198842,0.0,0.30711506168362074,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.27557504783519465,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.6386112836920511,0.0,0.0,0.0,0.0,-0.0,0.0,0.9083808113841055,0.0,0.7716931911360744,0.0,0.0,-0.0,0.0,-0.0,0.4647082153617661,0.0,6.62065241325538,0.0,6.177156409439102,0.0,0.0,0.29164080899173056,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.19331313038087164,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.1206492333821787,1.359193752531951,-0.0,1.4661936337530428,0.2803124649146132,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
q014,0.01333177391291991,0.0,4.162324987694879,0.15985191674530494,-0.0,-1.7523060586123742,10.578520344017035,-0.0,-0.0,-0.0,7.448298108714312,-0.0,0.9165477290355848,0.0,1.3718134882626456,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.035593946314911334,-0.0,-0.0,-0.0,0.0,-0.0,0.006609037076480399,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.4545249944079596,1.0645263903419473,0.6966340553608708,-0.0,0.5596471848713547,0.0,0.0,-0.0,0.8251718115535394,0.0,0.12448650505446031,-0.0,13.409590026198737,-0.0,0.0,-0.22404066916529827,2.0218876790593447,0.0,5.795611890843273,-22.701095901517505,6.226421275730645,-0.0,-13.141873616464975,0.712515487562394,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.16234771712322327,0.0,-0.0,-0.0,0.07001649301032396,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-2.6667046712680684,0.0,0.0,0.0,1.8286211021843612,2.191497423724916,-0.0,3.3803082224306293,0.7665832215035034,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.013546567009021446,0.0,-0.0
q142,1.1145768404080005e-15,0.0,0.0,0.9431791454597843,-0.0,0.0,0.39814680079524806,-0.0,0.0,-0.0,1.8947806286936007e-14,0.0,4.1796631515300015e-16,-0.08764138432703897,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.2855699326459787,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.006848102982371204,0.0,0.0,0.0,0.0,-0.0,0.0,5.990850517193002e-15,0.0,2.368475785867001e-15,0.0,0.0,-0.0,0.0,-0.0,5.458324424253926e-15,0.0,0.48797204079992196,0.0,0.5458118173483961,0.0,0.0,0.13633129482728631,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.03867459378260616,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9.752547353570003e-16,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.4489498925304006e-14,9.752547353570004e-15,-0.0,0.16533709656373716,0.037910260816611425,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
r001,0.0,0.0,0.19139472554659978,0.0,-0.0,1.1096245729924383,1.8032518923887135,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.4186395968113432,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.3464313899523719,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.3375856328588227,-0.0,1.517131969436776,0.7326477835679026,-0.0,0.0,7.7218094221548075,0.8252602839656819,0.0,0.0,0.1601648221593018,3.272416116246428,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5692192666089281,-0.0,0.32943083413875135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
p026,0.0,1.9085649682501733,-0.24948464149087912,0.0,0.0,-1.4029472864188304,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.028609396887627026,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0016828457739207856,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.03549348103061989,-0.0,-0.0,-0.0,-0.0,-0.0670864606566125,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.38596081930153525,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
p027,0.0,0.0,-0.0,0.0,-0.0,0.20709448650090084,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.39847707029054924,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.5537194702097793,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-4.5016037818677885,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.4550639081165924,-0.09927210878221056,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.01598359423137052,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
p028,0.0,-0.0,0.3400824549199304,0.0,0.0,3.7351226175187344,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4943320219398652,0.2470662056067552,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.03657034509623212,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.5639439019762779,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.732110880410221,0.0,0.0,0.0,0.9039465275615806,-0.0,-0.0,0.0,0.0,0.0,1.1287082648786413,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.17307923697773184,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.40100093101819645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
p029,-0.0,0.0,-1.8078315900242181,-0.0,0.0,-0.06306130865802821,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.7631019604703824,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0350558783428493,-0.0,0.0,-0.0,0.0,-0.0,-0.37157242362207343,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,2.259176341431549,-0.0,0.0,-0.0,-0.0,-0.0,0.2681034119358825,-0.0,0.0,2.0250415085828677,-0.5151231234060653,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.19120983534866323,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.11005719926124563,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
